itemCollection_BTR_MechParts_HeavyUncommon,,,This itemCollection Contains Uncommon Heavy Mech Parts
mechdef_merlin_MLN-1A,MechPart,2,1
mechdef_archer_ARC-2K,MechPart,2,1
mechdef_archer_ARC-2R,MechPart,2,1
mechdef_archer_ARC-2S,MechPart,2,1
mechdef_catapult_CPLT-A1,MechPart,2,1
mechdef_catapult_CPLT-C1,MechPart,2,1
mechdef_catapult_CPLT-C4,MechPart,2,1
mechdef_catapult_CPLT-C4C,MechPart,2,1
mechdef_catapult_CPLT-K2,MechPart,2,1
mechdef_catapult_CPLT-K2-RV,MechPart,2,1
mechdef_catapult_CPLT-K3,MechPart,2,1
mechdef_crusader_CRD-3D,MechPart,2,1
mechdef_crusader_CRD-3K,MechPart,2,1
mechdef_crusader_CRD-3L,MechPart,2,1
mechdef_crusader_CRD-3L-RV,MechPart,2,1
mechdef_crusader_CRD-3R,MechPart,2,1
mechdef_dragon_DRG-1C,MechPart,2,1
mechdef_dragon_DRG-1N,MechPart,2,1
mechdef_dragon_DRG-1N-RV,MechPart,2,1
mechdef_granddragon_DRG-1G,MechPart,2,1
mechdef_granddragon_DRG-5K,MechPart,2,1
mechdef_jagermech_JM7-D,MechPart,2,1
mechdef_marauder_MAD-3D,MechPart,2,1
mechdef_marauder_MAD-3L,MechPart,2,1
mechdef_marauder_MAD-3M,MechPart,2,1
mechdef_marauder_MAD-3R,MechPart,2,1
mechdef_orion_ON1-K,MechPart,2,1
mechdef_orion_ON1-V,MechPart,2,1
mechdef_orion_ON1-VA,MechPart,2,1
mechdef_quickdraw_QKD-4G,MechPart,2,1
mechdef_quickdraw_QKD-4G-RV,MechPart,2,1
mechdef_quickdraw_QKD-5A,MechPart,2,1
mechdef_rifleman_RFL-3C,MechPart,2,1
mechdef_rifleman_RFL-3N,MechPart,2,1
mechdef_rifleman_RFL-4D,MechPart,2,1
mechdef_thunderbolt_TDR-5D,MechPart,2,1
mechdef_thunderbolt_TDR-5S,MechPart,2,1
mechdef_thunderbolt_TDR-5SE,MechPart,2,1
mechdef_thunderbolt_TDR-5SS,MechPart,2,1
mechdef_warhammer_WHM-6D,MechPart,2,1
mechdef_warhammer_WHM-6K,MechPart,2,1
mechdef_warhammer_WHM-6L,MechPart,2,1
mechdef_warhammer_WHM-6R,MechPart,2,1
mechdef_archer_ARC-2W,MechPart,2,1
mechdef_archer_ARC-4M,MechPart,2,1
mechdef_cataphract_CTF-0X,MechPart,2,1
mechdef_cataphract_CTF-1X,MechPart,2,1
mechdef_cataphract_CTF-2X,MechPart,2,1
mechdef_cataphract_CTF-3D,MechPart,2,1
mechdef_cataphract_CTF-3L,MechPart,2,1
mechdef_cataphract_CTF-4X,MechPart,2,1
mechdef_champion_CHP-2N,MechPart,2,1
mechdef_champion_CHP-2N-RV,MechPart,2,1
mechdef_champion_CHP-3N,MechPart,2,1
mechdef_crusader_CRD-2R,MechPart,2,1
mechdef_crusader_CRD-4BR,MechPart,2,1
mechdef_crusader_CRD-4D,MechPart,2,1
mechdef_crusader_CRD-4K,MechPart,2,1
mechdef_dragon_DRG-5N,MechPart,2,1
mechdef_grasshopper_GHR-5H,MechPart,2,1
mechdef_grasshopper_GHR-5N,MechPart,2,1
mechdef_grasshopper_GHR-C,MechPart,2,1
mechdef_jagermech_JM6-A,MechPart,2,1
mechdef_jagermech_JM6-S,MechPart,2,1
mechdef_ostroc_OSR-2C,MechPart,2,1
mechdef_ostroc_OSR-2L,MechPart,2,1
mechdef_ostroc_OSR-2M,MechPart,2,1
mechdef_ostroc_OSR-3C,MechPart,2,1
mechdef_ostsol_OTL-4D,MechPart,2,1
mechdef_ostsol_OTL-4F,MechPart,2,1
mechdef_rifleman_RFL-5D,MechPart,2,1
mechdef_stalker_STK-4P,MechPart,2,1
