itemCollection_BTR_Weapon_GearRare,,,This itemCollecitons Contains Gear Rarity 4-5
Gear_Actuator_Coventry_S15,Upgrade,1,1
Gear_Actuator_Coventry_X65-Standard,Upgrade,1,1
Gear_Actuator_Coventry_B40-Extended,Upgrade,1,1
Gear_Cockpit_Matsubashi_Ronin-30,Upgrade,1,1
Gear_Actuator_Rawlings_Omicron,Upgrade,1,1
Gear_Actuator_Pitban_Wallaby,Upgrade,1,1
Gear_Cockpit_Ceres_Metals_Reinforced,Upgrade,1,1
Gear_Gyro_Coventry_Mark-55,Upgrade,1,1
Gear_Gyro_Coventry_Mark-85,Upgrade,1,1
Gear_Gyro_Rawlings_StabiliTrak-10,Upgrade,1,1
Gear_Gyro_Friedhof_Kite,Upgrade,1,1
Gear_Actuator_Friedhof_Perseus,Upgrade,1,1
Gear_TargetingTrackingSystem_Hartford_F1800,Upgrade,1,1
Gear_TargetingTrackingSystem_IMBS_Aegis-10,Upgrade,1,1
Gear_Cockpit_Majesty_M_M_90KL,Upgrade,1,1
Gear_TargetingTrackingSystem_RCA_InstaTrac-VIII,Upgrade,1,1
Gear_TargetingTrackingSystem_Kallon_A-C-1000,Upgrade,1,1
Gear_Cockpit_StarCorps_Enhanced,Upgrade,1,1
emod_structureslots_endosteel,Upgrade,1,1
emod_armorslots_ferrosfibrous,Upgrade,1,1
Gear_Actuator_Friedhof_Colossus,Upgrade,1,1
Gear_Actuator_Friedhof_Behemoth,Upgrade,1,1
Gear_MASC,Upgrade,1,1
Gear_Cockpit_StarCorps_Advanced,Upgrade,1,1
Gear_Cockpit_Majesty_M_M_120KL,Upgrade,1,1
Gear_TargetingTrackingSystem_LMT_VTAS-30,Upgrade,1,1
Gear_TargetingTrackingSystem_IMBS_Aegis-20,Upgrade,1,1
Gear_Cockpit_Garret_T-31,Upgrade,1,1
Gear_Cockpit_SLDF_Custom,Upgrade,1,1
Gear_TargetingTrackingSystem_ArtemisIV,Upgrade,1,1
Gear_Sensor_Prototype_ECM,Upgrade,1,1
Gear_TargetingTrackingSystem_RCA_InstaTrac-IX,Upgrade,1,1
Gear_TargetingTrackingSystem_Kallon_A-C-1500,Upgrade,1,1
Gear_TargetingTrackingSystem_Hartford_F2400,Upgrade,1,1
