itemCollection_BTR_Upgrade_GearUncommon,,,This itemCollecitons Constains Gear Rarity 2-3
Gear_Actuator_Coventry_S10,Upgrade,1,1
emod_case,Upgrade,1,1
Gear_Actuator_Coventry_X55-Standard,Upgrade,1,1
Gear_Actuator_Coventry_B20-Extended,Upgrade,1,1
Gear_Cockpit_Matsubashi_Ronin-15,Upgrade,1,1
Gear_Cockpit_Ceres_Metals_Braced,Upgrade,1,1
Gear_Actuator_Rawlings_Epsilon,Upgrade,1,1
Gear_Actuator_Pitban_Jackrabbit,Upgrade,1,1
Gear_Gyro_Coventry_Mark-45,Upgrade,1,1
Gear_Gyro_Coventry_Mark-75,Upgrade,1,1
Gear_Gyro_Rawlings_StabiliTrak-5,Upgrade,1,1
Gear_Gyro_Friedhof_Osprey,Upgrade,1,1
Gear_Actuator_Friedhof_Theseus,Upgrade,1,1
Gear_TargetingTrackingSystem_RCA_InstaTrac-III,Upgrade,1,1
Gear_TargetingTrackingSystem_Kallon_A-C-500,Upgrade,1,1
Gear_TargetingTrackingSystem_IMBS_Aegis-5,Upgrade,1,1
Gear_TargetingTrackingSystem_Hartford_F1200,Upgrade,1,1
Gear_Sensor_ActiveProbe,Upgrade,1,1
Gear_Cockpit_StarCorps_Improved,Upgrade,1,1
Gear_Cockpit_Majesty_M_M_60KL,Upgrade,1,1
Gear_TargetingTrackingSystem_LMT_VTAS-15,Upgrade,1,1
Gear_Cockpit_Garret_T-21,Upgrade,1,1
