itemCollection_BTR_Weapon_BallisticUncommon,,,This itemCollecitons Constains Ballistic Weapons Rarity 2-3
Weapon_Autocannon_UAC5_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC2_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC10_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB5X_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB2X_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB20X_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB10X_0-STOCK,Weapon,1,1
Weapon_Gauss_Gauss_0-STOCK,Weapon,1,1
Weapon_AMS,Weapon,1,1
Weapon_Autocannon_UAC20_0-STOCK,Weapon,1,1
Weapon_Autocannon_AC20_0-KGC,Weapon,1,1
Weapon_Autocannon_AC5_1-ZeusBolt,Weapon,1,1
Weapon_Autocannon_AC5_1-Mydron,Weapon,1,1
Weapon_Autocannon_AC2_1-ZeusBolt,Weapon,1,1
Weapon_Autocannon_AC2_1-Imperator,Weapon,1,1
Weapon_Autocannon_AC10_1-ZeusBolt,Weapon,1,1
Weapon_Autocannon_AC10_1-Federated,Weapon,1,1
Weapon_Autocannon_AC5_1-Kali_Yama,Weapon,1,1
Weapon_Autocannon_AC5_1-Imperator,Weapon,1,1
Weapon_Autocannon_AC5_1-Federated,Weapon,1,1
Weapon_Autocannon_AC5_1-Defiance,Weapon,1,1
Weapon_Autocannon_AC2_1-Mydron,Weapon,1,1
Weapon_Autocannon_AC2_1-Kali_Yama,Weapon,1,1
Weapon_Autocannon_AC2_1-Federated,Weapon,1,1
Weapon_Autocannon_AC2_1-Defiance,Weapon,1,1
Weapon_Autocannon_AC10_1-Mydron,Weapon,1,1
Weapon_Autocannon_AC10_1-Kali_Yama,Weapon,1,1
Weapon_Autocannon_AC10_1-Imperator,Weapon,1,1
Weapon_Autocannon_AC10_1-Defiance,Weapon,1,1
Weapon_MachineGun_TwinMachineGun_1-VMI,Weapon,1,1
Weapon_MachineGun_MachineGun_1-VMI,Weapon,1,1
Weapon_MachineGun_MachineGun_1-Brigadier,Weapon,1,1
Weapon_Autocannon_AC20_1-ZeusBolt,Weapon,1,1
Weapon_Autocannon_AC20_1-Kali_Yama,Weapon,1,1
Weapon_Autocannon_AC20_1-GM,Weapon,1,1
Weapon_Autocannon_AC20_1-Mydron,Weapon,1,1
Weapon_Autocannon_AC20_1-Imperator,Weapon,1,1
Weapon_Autocannon_AC20_1-Federated,Weapon,1,1
Weapon_Autocannon_AC20_1-Defiance,Weapon,1,1
