itemCollection_BTR_Weapon_EnergyEpic,,This itemCollection Contains Energy Weapons with a rarity 6 or above,
Weapon_Laser_MediumLaser_3-Starflash,Weapon,1,1
Weapon_Laser_MediumLaser_3-Omicron,Weapon,1,1
Weapon_Laser_MediumLaser_3-Magna,Weapon,1,1
Weapon_Laser_MediumLaser_3-Intek,Weapon,1,1
Weapon_Laser_MediumLaser_3-ExoStar,Weapon,1,1
Weapon_Laser_MediumLaser_3-Diverse_Optics,Weapon,1,1
Weapon_Laser_LargeLaser_3-Starflash,Weapon,1,1
Weapon_Laser_LargeLaser_3-Omicron,Weapon,1,1
Weapon_Laser_LargeLaser_3-Intek,Weapon,1,1
Weapon_Laser_LargeLaser_3-ExoStar,Weapon,1,1
Weapon_Laser_LargeLaser_3-Diverse_Optics,Weapon,1,1
Weapon_Laser_BinaryLaserCannon_3-Omicron,Weapon,1,1
Weapon_Laser_LargeLaser_3-Magna,Weapon,1,1
Weapon_Laser_TwinSmallLaser_3-Omicron,Weapon,1,1
Weapon_Laser_SmallLaser_3-Starflash,Weapon,1,1
Weapon_Laser_SmallLaser_3-Omicron,Weapon,1,1
Weapon_Laser_SmallLaser_3-Magna,Weapon,1,1
Weapon_Laser_SmallLaser_3-ExoStar,Weapon,1,1
Weapon_Laser_SmallLaser_3-Diverse_Optics,Weapon,1,1
Weapon_Laser_SmallLaser_3-Intek,Weapon,1,1
Weapon_Laser_LargeLaserPulse_2-ExoStar,Weapon,1,1
Weapon_Laser_MediumLaserPulse_2-Magna400P,Weapon,1,1
Weapon_Laser_MediumLaserER_2-BrightBloom,Weapon,1,1
Weapon_Laser_LargeLaserER_2-BlazeFire,Weapon,1,1
Weapon_Laser_SmallLaserPulse_2-Magna200P,Weapon,1,1
Weapon_Laser_SmallLaserER_2-BlazeFire,Weapon,1,1
Weapon_PPC_PPCSnub_2-Magna,Weapon,1,1
Weapon_PPC_PPCSnub_2-Donal,Weapon,1,1
Weapon_PPC_PPCSnub_2-Ceres_Arms,Weapon,1,1
Weapon_PPC_PPCER_2-TiegartMagnum,Weapon,1,1
