itemCollection_BTR_Weapon_EnergyRare,,This itemCollection Contains Energy Weapons with a rarity 4-5,
Weapon_Laser_MediumLaserPulse_1-RakerIV,Weapon,1,1
Weapon_Laser_MediumLaserER_1-MagnaVI,Weapon,1,1
Weapon_Laser_LargeLaserPulse_1-Thunderbolt12,Weapon,1,1
Weapon_Laser_LargeLaserER_1-Blankenburg25,Weapon,1,1
Weapon_Laser_TwinSmallLaser_2-Magna,Weapon,1,1
Weapon_Laser_SmallLaserPulse_1-Maxell,Weapon,1,1
Weapon_Laser_SmallLaserER_1-Diverse_Optics,Weapon,1,1
Weapon_PPC_PPCSnub_1-Magna,Weapon,1,1
Weapon_PPC_PPCSnub_1-Donal,Weapon,1,1
Weapon_PPC_PPCSnub_1-Ceres_Arms,Weapon,1,1
Weapon_PPC_PPCER_1-MagnaFirestar,Weapon,1,1
Weapon_Laser_MediumLaser_2-Starflash,Weapon,1,1
Weapon_Laser_MediumLaser_2-Omicron,Weapon,1,1
Weapon_Laser_MediumLaser_2-Magna,Weapon,1,1
Weapon_Laser_MediumLaser_2-Intek,Weapon,1,1
Weapon_Laser_MediumLaser_2-ExoStar,Weapon,1,1
Weapon_Laser_MediumLaser_2-Diverse_Optics,Weapon,1,1
Weapon_Laser_LargeLaser_2-Starflash,Weapon,1,1
Weapon_Laser_LargeLaser_2-Omicron,Weapon,1,1
Weapon_Laser_BinaryLaserCannon_2-Magna,Weapon,1,1
Weapon_Laser_LargeLaser_2-Magna,Weapon,1,1
Weapon_Laser_LargeLaser_2-Intek,Weapon,1,1
Weapon_Laser_LargeLaser_2-ExoStar,Weapon,1,1
Weapon_Laser_LargeLaser_2-Diverse_Optics,Weapon,1,1
Weapon_Laser_SmallLaser_2-Starflash,Weapon,1,1
Weapon_Laser_SmallLaser_2-Omicron,Weapon,1,1
Weapon_Laser_SmallLaser_2-Magna,Weapon,1,1
Weapon_Laser_SmallLaser_2-Intek,Weapon,1,1
Weapon_Laser_SmallLaser_2-ExoStar,Weapon,1,1
Weapon_Laser_SmallLaser_2-Diverse_Optics,Weapon,1,1
Weapon_Flamer_Flamer_2-Olympus,Weapon,1,1
Weapon_PPC_PPC_2-Tiegart,Weapon,1,1
Weapon_PPC_PPC_2-Donal,Weapon,1,1
Weapon_PPC_PPC_2-Ceres_Arms,Weapon,1,1
