itemCollection_BTR_Weapon_MissileUncommon,,This List Contains BTR Missile Systems rarity 2-3,
Weapon_SRM_SSRM6_1-Irian,Weapon,1,1
Weapon_SRM_SSRM6_1-Holly,Weapon,1,1
Weapon_SRM_SSRM4_1-Irian,Weapon,1,1
Weapon_SRM_SSRM4_1-Holly,Weapon,1,1
Weapon_SRM_SSRM2_1-Irian,Weapon,1,1
Weapon_SRM_SSRM2_1-Holly,Weapon,1,1
Weapon_SRM_SRM6_1-Valiant,Weapon,1,1
Weapon_SRM_SRM6_1-Lockheed,Weapon,1,1
Weapon_SRM_SRM6_1-Harvester,Weapon,1,1
Weapon_SRM_SRM6_1-Coventry,Weapon,1,1
Weapon_SRM_SRM4_1-Valiant,Weapon,1,1
Weapon_SRM_SRM4_1-Lockheed,Weapon,1,1
Weapon_SRM_SRM4_1-Harvester,Weapon,1,1
Weapon_SRM_SRM4_1-Coventry,Weapon,1,1
Weapon_SRM_SRM2_1-Valiant,Weapon,1,1
Weapon_SRM_SRM2_1-Lockheed,Weapon,1,1
Weapon_SRM_SRM2_1-Harvester,Weapon,1,1
Weapon_SRM_SRM2_1-Coventry,Weapon,1,1
Weapon_LRM_LRM5_1-Zeus,Weapon,1,1
Weapon_LRM_LRM5_1-Drago,Weapon,1,1
Weapon_LRM_LRM5_1-Coventry,Weapon,1,1
Weapon_LRM_LRM5_1-Concordat,Weapon,1,1
Weapon_LRM_LRM20_1-Zeus,Weapon,1,1
Weapon_LRM_LRM20_1-Drago,Weapon,1,1
Weapon_LRM_LRM20_1-Coventry,Weapon,1,1
Weapon_LRM_LRM20_1-Concordat,Weapon,1,1
Weapon_LRM_LRM15_1-Zeus,Weapon,1,1
Weapon_LRM_LRM15_1-Drago,Weapon,1,1
Weapon_LRM_LRM15_1-Coventry,Weapon,1,1
Weapon_LRM_LRM15_1-Concordat,Weapon,1,1
Weapon_LRM_LRM10_1-Zeus,Weapon,1,1
Weapon_LRM_LRM10_1-Drago,Weapon,1,1
Weapon_LRM_LRM10_1-Coventry,Weapon,1,1
Weapon_LRM_LRM10_1-Concordat,Weapon,1,1
Weapon_SRM_SRM6_1-Irian,Weapon,1,1
Weapon_SRM_SRM6_1-Holly,Weapon,1,1
Weapon_SRM_SRM4_1-Irian,Weapon,1,1
Weapon_SRM_SRM4_1-Holly,Weapon,1,1
Weapon_SRM_SRM2_1-Irian,Weapon,1,1
Weapon_SRM_SRM2_1-Holly,Weapon,1,1
Weapon_LRM_LRM5_1-Telos,Weapon,1,1
Weapon_LRM_LRM5_1-LongFire,Weapon,1,1
Weapon_LRM_LRM5_1-Delta,Weapon,1,1
Weapon_LRM_LRM20_1-Telos,Weapon,1,1
Weapon_LRM_LRM20_1-LongFire,Weapon,1,1
Weapon_LRM_LRM20_1-Delta,Weapon,1,1
Weapon_LRM_LRM15_1-Telos,Weapon,1,1
Weapon_LRM_LRM15_1-LongFire,Weapon,1,1
Weapon_LRM_LRM15_1-Delta,Weapon,1,1
Weapon_LRM_LRM10_1-Telos,Weapon,1,1
Weapon_LRM_LRM10_1-LongFire,Weapon,1,1
Weapon_LRM_LRM10_1-Delta,Weapon,1,1
