itemCollection_systemStores_MechParts_Kurita_Medium,,N,D
mechdef_kintaro_KTO-20,MechPart,1,3
mechdef_kintaro_KTO-K,MechPart,1,3
mechdef_phoenixhawk_PXH-1K,MechPart,1,3
mechdef_trebuchet_TBT-7K,MechPart,1,3
mechdef_shadowhawk_SHD-2K,MechPart,1,3
mechdef_gladiator_GLD-4R,MechPart,1,3
mechdef_wolverine_WVR-7K,MechPart,1,3
mechdef_blackhawkku_BHKU-O,MechPart,1,1
mechdef_blackhawkku_BHKU-OA,MechPart,1,1
mechdef_blackhawkku_BHKU-OB,MechPart,1,1
mechdef_blackhawkku_BHKU-OC,MechPart,1,1
mechdef_blackhawkku_BHKU-OD,MechPart,1,1
