itemCollection_systemStores_Weapons_Davion_Rare,,N,D
Weapon_SRM_SSRM2_0-STOCK,Weapon,4,10
Weapon_SRM_SSRM4_0-STOCK,Weapon,4,10
Weapon_SRM_SSRM6_0-STOCK,Weapon,4,10
Weapon_Autocannon_UAC5_0-STOCK,Weapon,2,10
Weapon_Autocannon_LB5X_0-STOCK,Weapon,2,10
Weapon_Autocannon_UAC10_0-STOCK,Weapon,1,10
Weapon_Laser_BinaryLaserCannon_0-STOCK,Weapon,1,10
Weapon_Laser_SmallLaserER_0-STOCK,Weapon,3,10
Weapon_Laser_MediumLaserER_0-STOCK,Weapon,2,10
Weapon_Laser_LargeLaserER_0-STOCK,Weapon,1,10
Weapon_Laser_SmallLaserPulse_0-STOCK,Weapon,2,10
Weapon_TAG_Standard_0-STOCK,Weapon,2,10
