BTR_FP_DefenseCycle_Upgrades,War Salvage,N,Divisor
Gear_Actuator_Pitban_Jackrabbit,Upgrade,1,4
Gear_Cockpit_Ceres_Metals_Hardened,Upgrade,1,4
Gear_Gyro_Rawlings_StabiliTrak-5,Upgrade,1,4
emod_case,Upgrade,1,3
Gear_Sensor_ActiveProbe,Upgrade,1,2
Gear_Cockpit_Matsubashi_Ronin-30,Upgrade,1,3
Gear_Actuator_Pitban_Kangaroo,Upgrade,1,4
Gear_Cockpit_StarCorps_Enhanced,Upgrade,1,3
Gear_Gyro_Coventry_Mark-85,Upgrade,1,1
Gear_Gyro_Coventry_Mark-65,Upgrade,1,2
Gear_Actuator_Coventry_S10,Upgrade,1,2
Gear_Actuator_Friedhof_Heracles,Upgrade,1,1
