CPDBID,Name/Model,Era,Year,"Technology Base",Chassis,"Rules Level (Current)",Tonnage,Designer,"Battle Value",Cost,Rating
3478,"Agrotera AGT-1A",Republic,3108,"Inner Sphere",Biped,Advanced,50,"Catalyst Game Labs",1578,13230000,-----
4020,"Agrotera AGT-UA (Ariel)","Dark Age",3144,"Inner Sphere (Mixed)",Biped,Advanced,50,"Catalyst Game Labs",1913,11472000,-----
1085,"Akuma AKU-1X","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",1959,9232480,3.000000
1086,"Akuma AKU-1XJ","Civil War",3064,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2203,9593955,2.772727
4318,"Akuma AKU-2X",Jihad,3071,"Inner Sphere",Biped,Advanced,90,"Catalyst Game Labs",2122,11512480,-----
4830,"Akuma AKU-2XC",Jihad,3077,"Inner Sphere",Biped,Advanced,90,"Catalyst Game Labs",2134,13629080,-----
4319,"Akuma AKU-2XK",Jihad,3083,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2170,11375680,-----
703,"Albatross ALB-3U","Clan Invasion",3053,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",1668,25376650,2.611111
4836,"Albatross ALB-3Ur",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",1902,25171900,-----
3066,"Albatross ALB-4U","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",1907,25291338,-----
3969,"Albatross ALB-5W (Dantalion)",Jihad,3073,"Inner Sphere",Biped,Advanced,95,"Catalyst Game Labs",2296,29975888,-----
248,"Annihilator ANH-1A","Late Succession Wars",3009,"Inner Sphere",Biped,Introductory,100,"Catalyst Game Labs",1434,7648667,2.533333
4061,"Annihilator ANH-1E","Late Succession Wars",3028,"Inner Sphere",Biped,Introductory,100,"Catalyst Game Labs",1625,7760667,-----
2951,"Annihilator ANH-1G","Early Succession Wars",2823,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2274,8336667,-----
2950,"Annihilator ANH-1X","Star League",2779,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",1926,9753167,-----
247,"Annihilator ANH-2A","Late Succession Wars",3048,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",1595,9604667,2.923077
3581,"Annihilator ANH-2AX",Jihad,3074,"Inner Sphere",Biped,Advanced,100,"Catalyst Game Labs",2553,14953333,-----
3859,"Annihilator ANH-3A",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",1712,12532333,-----
3860,"Annihilator ANH-4A",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",1726,10096667,-----
1245,"Annihilator C","Early Succession Wars",2848,Clan,Biped,"Tournament Legal",100,"Catalyst Game Labs",2520,11484000,3.954545
2953,"Annihilator C (Bryan ""Gausszilla"")","Early Succession Wars",2844,Clan,Biped,"Tournament Legal",100,"Catalyst Game Labs",2455,9456667,-----
